elemento_ptr,categoria,nombre,precio,tamanio
38,13,Pepperoni,0,Tamanio_unico
39,13,Sausage,0,Tamanio_unico
40,13,Mushrooms,0,Tamanio_unico
41,13,Onions,0,Tamanio_unico
42,13,Ham,0,Tamanio_unico
43,13,Canadian Bacon,0,Tamanio_unico
44,13,Pineapple,0,Tamanio_unico
45,13,Eggplant,0,Tamanio_unico
46,13,Tomato & Basil,0,Tamanio_unico
47,13,Green Peppers,0,Tamanio_unico
48,13,Hamburger,0,Tamanio_unico
49,13,Spinach,0,Tamanio_unico
50,13,Artichoke,0,Tamanio_unico
51,13,Buffalo Chicken,0,Tamanio_unico
52,13,Barbecue Chicken,0,Tamanio_unico
53,13,Anchovies,0,Tamanio_unico
54,13,Black Olives,0,Tamanio_unico
55,13,Fresh Garlic,0,Tamanio_unico
56,13,Zucchini,0,Tamanio_unico
